# Spotify playlist "日本の歌" by jayden: https://open.spotify.com/playlist/6Bb0fLmdSvA3YmkhhVMvTc
# Read from the public playlist page on 2026-09-21. It has 541 songs; 19 were set aside (15 duplicates and 4 covers,
# remixes or live versions), leaving the 522 below.
# lang: ja
# One song per line: title|artists  (artists comma-separated, exactly as Spotify shows them)
脈拍|Rokudenashi
ヒッチコック|Yorushika
火星人|Yorushika
オアイコ|Aimer
CREAM|ZUTOMAYO
ドライフラワー|Yuuri
sentimental|culenasm
YABA|Fujii Kaze
damn|Fujii Kaze
声命 - Seimei|tuki.
愛とか。|Riria.
Suicidal thoughts of a 15-year-old|mcニンニン
鋭利な心拍 / Sharp Heartbeat|White Girl
花の唄|Aimer
Endless Tears feat. 中村舞子|Cliff Edge, Maiko Nakamura
カワキヲアメク|美波
白色蜉蝣|Aimer
Bunny Girl|AKASAKI
Orbital Period|Hoshimachi Suisei
もうどうなってもいいや|Hoshimachi Suisei
ビビデバ|Hoshimachi Suisei
Caramel Pain|Hoshimachi Suisei
綺麗事|Hoshimachi Suisei
ストーリーテラー|白上フブキ
灼熱にて純情(wii-wii-woo)|Hoshimachi Suisei
火焔|DUSTCELL
Aluma|konoco
みちづれ|Hoshimachi Suisei
孤独の鯨 - The Lonely Whale|tuki.
なんもない (feat. 星街すいせい, sakuma.)|MAISONdes, Hoshimachi Suisei, sakuma.
そばにいて。|Yuika
カンフルショット|suisoh
Ai o Mitsukete|ミセカイ
最後のバイバイ。|Riria.
Spyder|TakaseToya
Sedum|Sincere
夜の合図|Kawasaki.Rio
Darlin' Honey Love|TakaseToya
Sayonara Omajinai (feat. Lozareena)|TakaseToya, LOZAREENA
identity|TakaseToya
Song of dreams|Kentaro
ギルティ - Guilty|tuki.
革命道中 - On The Way|AiNA THE END
breakfast|Mrs. GREEN APPLE
恋風|Lilas
Shall We|STUTS, ZOT on the WAVE, Yo-Sea, LEX
サムライハート(Some Like It Hot!!)|SPYAIR
泡沫雪|Ren
Never Grow Up|CHANMINA
星月夜|YU-KA
Myra|Tani Yuuki
また逢う日まで|HIRAIDAI
inside you|milet
HINOYOUNI|HINONABE
シューゲイザー|SHO-SENSEI!!
夏の影|Mrs. GREEN APPLE
太陽が昇らない世界 - A World Where the Sun Never Rises|Aimer
残酷な夜に輝け - Shine in the Cruel Night|LiSA
夜更かし症候群 / Night Owl Syndrome|White Girl
チノカテ|Yorushika
命に嫌われている。|majiko
Mela!|Ryokuoushoku Shakai
遠雷|tayori
Stay with me|TakaseToya
Yoru No Pierrot|Ado
イオ|Rokudenashi
最低界隈 - Saitei Kaiwai|tuki.
Secret Garden|BE:FIRST
104Hz|ミセカイ
KILL LOVE|ano
夏夜のマジック|indigo la End
白群|krage
ガーデン|DAZBEE
夏霞|Atarayo
Episode X|Ado
The Story of the Wind and I|Ado
Love ice|TakaseToya
スノードーム|Yuika
IRIS OUT|Kenshi Yonezu
CHAINSAW BLOOD|Vaundy
MAGIC|Ado
Disco FLO|梓川
イグニッション|*Luna, Yuaru, ねんね
FightSong|Eve
Fleeting Girl|ミセカイ
was it all bc of me (again) ?|kuudere, Sg Lily
Sairuiya|ミセカイ
Love spark (feat. enu)|Matsuri, enu
Yushinron|ZUTOMAYO
彗星|Hoshimachi Suisei
TWILIGHT|yama
最低な君に贈る歌|Yuuri
私が選んだもの|Yuika
Unveil|*Luna, ねんね
スノードーム|もさを。
Little Bouquet|Aimer
Pastoral|Aimer
百花繚乱|Lilas
Good bye, toxic love|Matsuri
茜|Yorushika
蛹|yama
ナイトコールで抱きしめて Hold Me in the Nightcall|nocco
lulu.|Mrs. GREEN APPLE
The Story of Us|milet
Vivarium|Ado
「君の幸せを」|Uru
アルビレオ|Rokudenashi
幸せの色|Masanori Otoda
petal|culenasm
ルミナス - Luminous|AiNA THE END
It's Alright|Fujii Kaze
しないで|Atarayo
Love me forever!|Ado
初恋|Hikaru Utada
hanare banare|milet
Aoi|sakanaction
Wings|milet
